trial,seed,base_duration,imp_duration,min_cost,base_cost,imp_cost
507,741555677761,5851,894,9.992199069778606E7,1.2542167697229578E8,1.0612530442327629E8
508,741591514679,5898,790,1.1014436103675175E8,1.3734214535047722E8,1.1659808652694793E8
509,741629801521,6250,806,1.0524037228151742E8,1.3311590169328226E8,1.1143272522269398E8
510,741669191304,6617,928,1.0885328690206277E8,1.3830920847069025E8,1.1584424768637648E8
511,741708638052,5557,879,1.0720057873397222E8,1.3379212775358005E8,1.1328371598887432E8
512,741745710220,6003,900,1.0800512866847146E8,1.3551310906062824E8,1.142809914135696E8
513,741782751272,5524,838,1.069787902131857E8,1.319645157033818E8,1.1259992746808766E8
514,741815781848,5779,955,1.0154126657849908E8,1.2708299206869517E8,1.0751652148045975E8
515,741852297222,5924,938,1.0724941288237238E8,1.3429496190198034E8,1.1376366778433314E8
516,741892282925,5754,1042,1.043936595449216E8,1.301072281723727E8,1.1063179679982363E8
517,741929075826,5681,804,1.0621240927792032E8,1.3274703672890083E8,1.1261648770929278E8
518,741967187061,6017,869,1.0862322131866835E8,1.3604516249513897E8,1.1490957425984468E8
519,742006326768,6010,1008,1.0566000068224898E8,1.3186084381950377E8,1.1193053009401353E8
520,742040763328,5701,834,1.0882021505412143E8,1.3588592093647438E8,1.1537517583843528E8
521,742080985710,6007,990,1.0740840732872811E8,1.343876622306889E8,1.1373979948559073E8
522,742120159548,6056,779,1.050856653840683E8,1.3122556734485255E8,1.1102599871740176E8
523,742155085292,6082,875,1.0926443880107127E8,1.374257917422477E8,1.1566412507558109E8
524,742193016676,5640,980,1.0348280680414055E8,1.297301793531602E8,1.0989857151002295E8
525,742227907729,5696,882,1.0666198915708782E8,1.338797342551273E8,1.1303624405904871E8
526,742262344769,5544,773,1.0523571474886173E8,1.3110165592533217E8,1.1107757749395964E8
527,742298340047,5761,848,1.0658879205939697E8,1.3382238029469115E8,1.1309787049076948E8
528,742341747002,6161,932,1.0598884965034154E8,1.3191367317975321E8,1.1206684965034153E8
529,742379380665,5805,853,1.0857009631790395E8,1.3679521396496263E8,1.1512517474927638E8
530,742415724416,6017,798,1.0688815875373653E8,1.3465400189099142E8,1.1332704110667765E8
531,742456690025,6100,974,1.1109315500819582E8,1.3920919422388223E8,1.1782105696898028E8
532,742495642890,6028,914,1.0700891140761937E8,1.348205584664429E8,1.1393467611350173E8
533,742533149241,5913,859,1.067221033296617E8,1.3350422097672059E8,1.1284808372181857E8
534,742572064490,5892,939,1.0673508900560296E8,1.3309246155462278E8,1.128960693977597E8
535,742606888631,6118,838,1.1010038681755504E8,1.371946025038294E8,1.165280926999079E8
536,742646180666,6059,889,1.0598330407700697E8,1.3381855897896758E8,1.1222097074367364E8
537,742683602800,5984,827,1.071857519790516E8,1.338918696261103E8,1.1337157550846328E8
538,742721499666,6073,997,1.04172449656258E8,1.318331359307677E8,1.1062370455821885E8
539,742762499742,6181,855,1.0726570453837799E8,1.3497788100896636E8,1.1374252806778999E8
540,742800701782,5615,860,1.0053065959297143E8,1.2534856155375558E8,1.0647479684787343E8
541,742838312168,6622,1012,1.1034452544800654E8,1.4009697642839894E8,1.1680766270290846E8
542,742877580650,6350,1002,1.0453271651619102E8,1.335972263201127E8,1.1100440279070088E8
543,742919622592,5949,911,1.0997601820001455E8,1.3821109663138723E8,1.162619201607989E8
544,742958440090,5983,897,1.0538899584418681E8,1.3276072133438288E8,1.1189381937359847E8
545,742996678104,6158,948,1.0232990053809729E8,1.2958505740084243E8,1.087159201459404E8
546,743035412138,6017,924,1.0958110931917791E8,1.3671101127996233E8,1.1580030539760938E8
547,743073528086,5881,774,1.0984011409353799E8,1.389677415445183E8,1.1591631017196931E8
548,743112765423,5801,764,1.0767254590773372E8,1.35263134143028E8,1.1422001649596909E8
549,743152979869,6401,932,1.1314368270092365E8,1.430049179950413E8,1.200574670146493E8
550,743194920598,5942,886,1.0805092671486616E8,1.3511173063643482E8,1.1440645612663105E8
551,743234618362,6247,968,1.090457151416094E8,1.3712085239651155E8,1.1538624455337419E8
552,743273582458,6122,864,1.142037597727414E8,1.433932891845062E8,1.2072024996881987E8
553,743311339183,6214,841,1.1183652371337195E8,1.402730727329795E8,1.1807932763494048E8
554,743351260896,5931,953,1.0577608821345815E8,1.3316477448796798E8,1.1230559801737994E8
555,743388977827,5785,844,1.071866911115592E8,1.3481496562136286E8,1.1359843620959827E8
556,743424596073,6245,946,1.108724038720368E8,1.3890734504850736E8,1.1743510975438978E8
557,743460808846,5996,991,1.0810904131327505E8,1.3414557072503982E8,1.1442121778386343E8
558,743494789740,6724,781,1.1316890431441966E8,1.4379223764775297E8,1.1957447294187064E8
559,743532076012,6369,830,1.0531442306993337E8,1.3215987405032551E8,1.1153357993267848E8
560,743571430632,5643,870,1.0818979763524923E8,1.3420207214505328E8,1.1425407214505307E8
561,743605324529,5622,791,1.0321267711733407E8,1.2889652025458875E8,1.0920126535262816E8
562,743640276397,6412,889,1.0900091569105464E8,1.3806581765183887E8,1.1529599412242718E8
563,743677909287,5810,1036,1.0540652750238034E8,1.3288395887492926E8,1.119152726004194E8
564,743715135863,6208,1034,1.0255363698714678E8,1.3035224483028398E8,1.088163232616565E8
565,743751092973,5873,803,1.0292736111196056E8,1.305338709158822E8,1.0918689052372532E8
566,743789857830,6079,894,1.0284956874606E8,1.3225307854998179E8,1.0944684325586405E8
567,743827209457,5926,830,1.0598932839956664E8,1.3294146565446874E8,1.1238838722309625E8
568,743867600183,5953,909,1.0980634873255304E8,1.3687528990902373E8,1.1609562324235699E8
569,743906127439,6125,937,1.0789854641934702E8,1.3407817387032735E8,1.1418060524287628E8
570,743945626721,6023,1043,1.0877015818901552E8,1.3670976603215277E8,1.1583898171842736E8
571,743983983917,5989,881,1.0855735052999376E8,1.3607303680450347E8,1.147876838633271E8
572,744020545437,6241,895,1.1326945313324282E8,1.429179825450075E8,1.1972645313324282E8
573,744056581909,5756,858,1.0537923112232529E8,1.3051174092624712E8,1.1150346641644304E8
574,744092858412,5948,1048,1.0224472508148777E8,1.2783876429717422E8,1.083461172383504E8
575,744129515222,5986,808,1.1097981777792597E8,1.382527589543964E8,1.1742134718969066E8
576,744169592013,5382,775,1.0646302405709101E8,1.316328475865028E8,1.1256747503748314E8
577,744205771907,6161,984,1.0646755532126227E8,1.3490288865459564E8,1.132441631643995E8
578,744244421803,5715,775,1.0398832880767176E8,1.312108190037502E8,1.1020077978806391E8
579,744281337205,5686,861,1.0213794711251241E8,1.2906541770074795E8,1.0800549613212034E8
580,744317171777,6066,812,1.1087726076293519E8,1.3714286860607243E8,1.1721347644920969E8
